time,temperatura_c,humedad_porcentaje,precipitacion_mm,velocidad_viento_kmh
2025-12-06 00:00:00,22.0,73,0.0,4.0
2025-12-06 01:00:00,22.6,67,0.0,4.2
2025-12-06 02:00:00,22.3,68,0.0,2.9
2025-12-06 03:00:00,21.8,71,0.0,2.5
2025-12-06 04:00:00,21.5,70,0.0,3.2
2025-12-06 05:00:00,21.6,70,0.0,2.4
2025-12-06 06:00:00,21.4,70,0.0,3.0
2025-12-06 07:00:00,21.0,75,0.0,2.2
2025-12-06 08:00:00,22.0,75,0.0,2.1
2025-12-06 09:00:00,22.6,78,0.0,1.8
2025-12-06 10:00:00,23.7,78,0.0,2.5
2025-12-06 11:00:00,25.1,72,0.0,2.1
2025-12-06 12:00:00,26.9,59,0.0,2.5
2025-12-06 13:00:00,26.9,64,0.0,4.8
2025-12-06 14:00:00,27.2,60,0.0,4.0
2025-12-06 15:00:00,26.8,63,0.0,3.0
2025-12-06 16:00:00,26.4,63,0.0,2.4
2025-12-06 17:00:00,26.0,64,0.0,1.4
2025-12-06 18:00:00,25.4,68,0.0,2.5
2025-12-06 19:00:00,24.4,73,0.0,2.3
2025-12-06 20:00:00,23.6,79,0.0,0.8
2025-12-06 21:00:00,23.3,80,0.0,1.6
2025-12-06 22:00:00,22.9,81,0.0,2.3
2025-12-06 23:00:00,22.7,82,0.0,2.3
2025-12-07 00:00:00,22.6,81,0.0,2.3
2025-12-07 01:00:00,22.5,80,0.0,1.3
2025-12-07 02:00:00,22.3,80,0.0,1.5
2025-12-07 03:00:00,21.8,82,0.3,0.5
2025-12-07 04:00:00,21.5,83,0.2,1.5
2025-12-07 05:00:00,21.4,83,0.0,1.9
2025-12-07 06:00:00,21.3,84,0.0,2.7
2025-12-07 07:00:00,21.4,85,0.1,3.3
2025-12-07 08:00:00,22.5,83,0.0,2.9
2025-12-07 09:00:00,23.8,78,0.0,1.9
2025-12-07 10:00:00,24.5,78,0.0,3.1
2025-12-07 11:00:00,25.4,74,0.0,2.6
2025-12-07 12:00:00,26.6,69,0.0,2.0
2025-12-07 13:00:00,27.6,62,0.0,1.1
2025-12-07 14:00:00,28.7,54,0.0,1.4
2025-12-07 15:00:00,29.1,52,0.0,1.5
2025-12-07 16:00:00,28.9,53,0.0,3.2
2025-12-07 17:00:00,27.9,58,0.0,5.1
2025-12-07 18:00:00,26.5,64,0.0,4.7
2025-12-07 19:00:00,25.5,68,0.0,2.9
2025-12-07 20:00:00,24.9,71,0.0,3.0
2025-12-07 21:00:00,24.0,77,0.0,1.6
2025-12-07 22:00:00,23.9,76,0.0,0.8
2025-12-07 23:00:00,23.7,76,0.0,1.1
2025-12-08 00:00:00,23.6,76,0.0,2.5
2025-12-08 01:00:00,23.3,76,0.0,1.9
2025-12-08 02:00:00,23.1,76,0.0,1.1
2025-12-08 03:00:00,23.0,76,0.0,0.4
2025-12-08 04:00:00,22.7,76,0.0,0.0
2025-12-08 05:00:00,22.5,77,0.0,0.5
2025-12-08 06:00:00,22.2,77,0.0,2.2
2025-12-08 07:00:00,22.4,79,0.0,1.8
2025-12-08 08:00:00,23.5,77,0.0,2.5
2025-12-08 09:00:00,24.3,73,0.0,2.5
2025-12-08 10:00:00,25.1,71,0.0,1.9
2025-12-08 11:00:00,26.3,66,0.0,2.1
2025-12-08 12:00:00,27.3,61,0.0,2.7
2025-12-08 13:00:00,28.3,55,0.0,1.1
2025-12-08 14:00:00,29.2,51,0.0,1.3
2025-12-08 15:00:00,29.2,50,0.0,0.8
2025-12-08 16:00:00,28.9,50,0.0,0.5
2025-12-08 17:00:00,28.6,52,0.0,1.3
2025-12-08 18:00:00,27.8,58,0.0,2.1
2025-12-08 19:00:00,26.6,62,0.0,3.2
2025-12-08 20:00:00,25.9,60,0.0,4.2
2025-12-08 21:00:00,24.8,65,0.0,4.4
2025-12-08 22:00:00,23.9,71,0.0,2.9
2025-12-08 23:00:00,23.0,76,0.1,2.6
2025-12-09 00:00:00,22.4,81,0.9,2.4
2025-12-09 01:00:00,22.0,82,0.9,2.2
2025-12-09 02:00:00,21.7,84,0.9,2.6
2025-12-09 03:00:00,21.4,87,0.8,1.8
2025-12-09 04:00:00,21.3,88,0.7,1.3
2025-12-09 05:00:00,21.2,89,0.5,1.4
2025-12-09 06:00:00,21.1,89,0.2,1.9
2025-12-09 07:00:00,21.3,89,0.0,0.8
2025-12-09 08:00:00,21.7,90,0.0,1.5
2025-12-09 09:00:00,22.9,85,0.0,1.8
2025-12-09 10:00:00,24.2,78,0.0,1.3
2025-12-09 11:00:00,25.4,73,0.0,1.6
2025-12-09 12:00:00,26.4,68,0.0,2.2
2025-12-09 13:00:00,27.5,62,0.0,1.8
2025-12-09 14:00:00,27.8,58,0.0,0.8
2025-12-09 15:00:00,28.0,58,0.0,1.9
2025-12-09 16:00:00,27.9,57,0.0,2.6
2025-12-09 17:00:00,27.5,57,0.0,2.4
2025-12-09 18:00:00,26.5,69,0.0,1.1
2025-12-09 19:00:00,26.2,62,0.0,4.2
2025-12-09 20:00:00,25.3,68,0.7,3.8
2025-12-09 21:00:00,24.2,74,0.7,2.3
2025-12-09 22:00:00,23.3,80,0.7,1.3
